temp, energy_density, magnetisation, specific_heat, susceptibility, elapsed_time: 39
1, -1.997175375, 0.999277625, 0.023347875590985723, 0.0015826031590080447
1.05, -1.9958755, 0.998944625, 0.031026089781435055, 0.0022154435723718635
1.1, -1.993987875, 0.9984510625, 0.041401800488445634, 0.003173477934313692
1.15, -1.99150025, 0.997792625, 0.05436088619733673, 0.0044705736686978526
1.2, -1.98874175, 0.997064125, 0.06614383030834306, 0.005791550692505846
1.25, -1.984834625, 0.9960121875, 0.08328398698944511, 0.007826484395002354
1.3, -1.980285625, 0.9947846875, 0.10066892235205864, 0.01006315999518939
1.35, -1.97468975, 0.99322775, 0.12140688048065108, 0.013255366160001988
1.4, -1.967917125, 0.9913243125, 0.14523551246479285, 0.01713821540696817
1.45, -1.960067875, 0.9891095, 0.16951615940594597, 0.021374247326897258
1.5, -1.951048875, 0.986481125, 0.19798528494178905, 0.027177240799337216
1.55, -1.9407085, 0.9834118125, 0.2285286800316417, 0.03420217759338676
1.6, -1.928099125, 0.9795428125, 0.26396617466837297, 0.04388396730859778
1.65, -1.91444725, 0.9753225625, 0.29945363670008573, 0.053990100618028176
1.7, -1.89759025, 0.969796, 0.34535417256609535, 0.07194778033882485
1.75, -1.880292875, 0.9640890625, 0.38682173725746166, 0.08944272419642678
1.8, -1.85915, 0.9566921875, 0.4387218395061663, 0.11718186727430671
1.85, -1.8364505, 0.9483743125, 0.4961519086001447, 0.1529542334971575
1.9, -1.809532875, 0.9382465625, 0.5619083254379499, 0.1964989232861831
1.95, -1.7795735, 0.9259605, 0.6347316550311706, 0.26640333648410175
2, -1.7454455, 0.911458875, 0.7128616044760037, 0.34755363887949997
2.05, -1.708148875, 0.8942955, 0.7970735118427097, 0.4559734173190231
2.1, -1.666166875, 0.87380425, 0.8868929609467092, 0.5957388055447647
2.15, -1.619962, 0.85011725, 0.9758753028845941, 0.7558753814679066
2.2, -1.568615, 0.8222265, 1.0603144284297497, 0.9335664966618201
2.25, -1.512551125, 0.789607125, 1.126434475598806, 1.135008062911557
2.3, -1.456110125, 0.7557820625, 1.175001313391115, 1.3195330266120642
2.35, -1.3985035, 0.71974575, 1.1940812080065233, 1.4788654437634061
2.4, -1.3381465, 0.680721875, 1.1845981684750015, 1.615257770572917
2.45, -1.27944475, 0.641845875, 1.1520770393396098, 1.7024097370248978
2.5, -1.221335625, 0.6027296875, 1.1026069009239996, 1.7497809994375004
2.55, -1.1697955, 0.566755125, 1.0344979997699348, 1.753496160909411
2.6, -1.118166125, 0.53174225, 0.9604626600235225, 1.7195405739061551
2.65, -1.073611875, 0.500731, 0.8842245893876789, 1.664909264489056
2.7, -1.030169375, 0.4704673125, 0.8127583352503431, 1.592584492080647
2.75, -0.99178825, 0.4436546875, 0.7409275105274705, 1.5086360158522731
2.8, -0.95621325, 0.4198840625, 0.6796038410158163, 1.4192033266941966
2.85, -0.923515125, 0.3983929375, 0.621618662894306, 1.3251973457571053
2.9, -0.89404525, 0.378943, 0.5700237599234245, 1.238458095194483
2.95, -0.86715, 0.362546625, 0.5241893892559605, 1.1572038850410167
